,hex_colors,rgb_colors,is_dark,Image_name,is_coral
0,#673b27,[103.41476752  59.8312881   39.18927758],False,coral_T2-9-1.jpg,True
0,#e0dad8,[224.00744939 218.9544126  216.11452096],False,blank_T2-9-1.JPG,False
