,hex_colors,rgb_colors,is_dark,Image_name,is_coral
0,#4c311a,[76.70710113 49.20651694 26.02666494],False,coral_T2-3-1.jpg,True
0,#e0dad8,[224.00744939 218.9544126  216.11452096],False,blank_T2-3-1.JPG,False
