,hex_colors,rgb_colors,is_dark,Image_name,is_coral
0,#e0dad8,[224.00744939 218.9544126  216.11452096],False,blank_T2-1-1.JPG,False
0,#53351b,[83.56793937 53.67643471 27.39595608],False,coral_T2-1-1.jpg,True
