Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-7-2_F,T3-7-2,0.111,T3,7,2,Stylophora pistillata,36.32067772,F,18,54.67953591,202.9671618,197.6083968,195.5745627,85.09324423,62.56237651,38.19590879
T3-7-2_I,T3-7-2,0.376,T3,7,2,Stylophora pistillata,36.32067772,I,0,55.96775803,195.2195438,189.7116959,188.1831141,83.78126802,56.17409358,26.9250644
T3-7-2_Middle,T3-7-2,0.321,T3,7,2,Stylophora pistillata,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-8-1_F,C-8-1,0.334,C,8,1,Stylophora pistillata,31.81368785,F,18,60.95752262,203.3483167,198.3070401,195.4294749,82.75443864,54.32588571,17.44670235
C-8-1_I,C-8-1,0.388,C,8,1,Stylophora pistillata,31.81368785,I,0,60.44155078,195.2195438,189.7116959,188.1831141,73.1374158,47.02376435,14.99117731
C-8-1_Middle,C-8-1,0.426,C,8,1,Stylophora pistillata,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-8-2_F,C-8-2,0.352,C,8,2,Stylophora pistillata,31.81342634,F,18,58.96760915,202.7859978,197.5462694,195.2656371,87.59530952,57.73149032,23.81773248
C-8-2_I,C-8-2,0.414,C,8,2,Stylophora pistillata,31.81342634,I,0,58.32038151,195.2195438,189.7116959,188.1831141,78.35700854,51.21696962,20.85431993
C-8-2_Middle,C-8-2,0.25,C,8,2,Stylophora pistillata,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-8-1_F,T1-8-1,0.34,T1,8,1,Stylophora pistillata,33.65498611,F,18,64.47964833,203.3483167,198.3070401,195.4294749,66.31482958,42.45844027,13.0024463
T1-8-1_I,T1-8-1,0.423,T1,8,1,Stylophora pistillata,33.65498611,I,0,61.84515767,195.2195438,189.7116959,188.1831141,64.32560706,41.11508745,14.46005264
T1-8-1_Middle,T1-8-1,0.366,T1,8,1,Stylophora pistillata,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-8-2_F,T1-8-2,0.341,T1,8,2,Stylophora pistillata,34.09503478,F,18,66.2116646,202.7859978,197.5462694,195.2656371,58.96460025,37.13189762,9.12161139
T1-8-2_I,T1-8-2,0.438,T1,8,2,Stylophora pistillata,34.09503478,I,0,63.33225773,195.2195438,189.7116959,188.1831141,59.29777235,37.55175465,11.40091547
T1-8-2_Middle,T1-8-2,0.233,T1,8,2,Stylophora pistillata,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-8-1_F,T2-8-1,0.161,T2,8,1,Stylophora pistillata,36.10948895,F,18,45.36546044,203.06107,197.9103429,195.4444993,105.6823277,83.58757831,62.64230959
T2-8-1_I,T2-8-1,0.456,T2,8,1,Stylophora pistillata,36.10948895,I,0,60.57962217,195.2195438,189.7116959,188.1831141,69.37000204,43.87936996,18.79332761
T2-8-1_Middle,T2-8-1,0.214,T2,8,1,Stylophora pistillata,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-8-2_F,T2-8-2,0.168,T2,8,2,Stylophora pistillata,35.57866298,F,18,55.09800383,202.9671618,197.6083968,195.5745627,92.72452892,64.17035103,34.15447154
T2-8-2_I,T2-8-2,0.434,T2,8,2,Stylophora pistillata,35.57866298,I,0,67.30822003,195.2195438,189.7116959,188.1831141,43.64176758,26.30064659,7.17854464
T2-8-2_Middle,T2-8-2,0.1,T2,8,2,Stylophora pistillata,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-8-1_F,T3-8-1,0,T3,8,1,Stylophora pistillata,37.86072744,F,18,52.24837479,203.06107,197.9103429,195.4444993,89.35944143,66.95041117,46.83562452
T3-8-1_I,T3-8-1,0.424,T3,8,1,Stylophora pistillata,37.86072744,I,0,62.71165602,195.2195438,189.7116959,188.1831141,57.70029869,37.13771186,16.6266324
T3-8-1_Middle,T3-8-1,0.177,T3,8,1,Stylophora pistillata,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-8-2_F,T3-8-2,0.076,T3,8,2,Stylophora pistillata,36.32067772,F,18,53.63783786,202.9671618,197.6083968,195.5745627,77.14433354,62.74768145,46.34381064
T3-8-2_I,T3-8-2,0.4,T3,8,2,Stylophora pistillata,36.32067772,I,0,65.38569714,195.2195438,189.7116959,188.1831141,52.75688616,31.84412494,8.07593083
T3-8-2_Middle,T3-8-2,0,T3,8,2,Stylophora pistillata,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-9-1_F,C-9-1,0.342,C,9,1,Stylophora pistillata,31.81368785,F,18,61.40664357,203.3483167,198.3070401,195.4294749,81.42877268,51.80434473,18.9477588
C-9-1_I,C-9-1,0.381,C,9,1,Stylophora pistillata,31.81368785,I,0,56.61752018,191.6695964,185.6211548,184.2726663,82.29414581,52.24573656,21.78235567
C-9-1_Middle,C-9-1,0.231,C,9,1,Stylophora pistillata,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-9-2_F,C-9-2,0.304,C,9,2,Stylophora pistillata,31.81342634,F,18,60.18250949,202.7859978,197.5462694,195.2656371,80.41684955,52.90205641,22.52227099
C-9-2_I,C-9-2,0.362,C,9,2,Stylophora pistillata,31.81342634,I,0,57.2189105,191.6695964,185.6211548,184.2726663,79.853583,50.91951204,20.51996544
C-9-2_Middle,C-9-2,0.291,C,9,2,Stylophora pistillata,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-9-1_F,T1-9-1,0.299,T1,9,1,Stylophora pistillata,33.65498611,F,18,64.73930796,203.3483167,198.3070401,195.4294749,65.93161838,41.41210276,13.81151438
T1-9-1_I,T1-9-1,0.385,T1,9,1,Stylophora pistillata,33.65498611,I,0,56.36585202,191.6695964,185.6211548,184.2726663,81.25542334,52.78375155,22.1708827
T1-9-1_Middle,T1-9-1,0.206,T1,9,1,Stylophora pistillata,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-9-2_F,T1-9-2,0.321,T1,9,2,Stylophora pistillata,34.09503478,F,18,69.90506775,202.7859978,197.5462694,195.2656371,46.31537393,26.37552636,6.40554994
T1-9-2_I,T1-9-2,0.412,T1,9,2,Stylophora pistillata,34.09503478,I,0,63.03260562,191.6695964,185.6211548,184.2726663,59.14932175,34.47251153,8.55679536
T1-9-2_Middle,T1-9-2,0.276,T1,9,2,Stylophora pistillata,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-9-1_F,T2-9-1,0.078,T2,9,1,Stylophora pistillata,36.10948895,F,18,52.12361921,203.06107,197.9103429,195.4444993,92.11061927,68.08757359,44.06115091
T2-9-1_I,T2-9-1,0.4,T2,9,1,Stylophora pistillata,36.10948895,I,0,63.07371084,191.6695964,185.6211548,184.2726663,57.89374999,34.48717007,8.82688589
T2-9-1_Middle,T2-9-1,0.049,T2,9,1,Stylophora pistillata,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-9-2_F,T2-9-2,0.193,T2,9,2,Stylophora pistillata,35.57866298,F,18,52.53412832,202.9671618,197.6083968,195.5745627,94.38078655,68.79087519,42.53232728
T2-9-2_I,T2-9-2,0.421,T2,9,2,Stylophora pistillata,35.57866298,I,0,60.53485732,191.6695964,185.6211548,184.2726663,64.71858634,40.92621754,15.14542734
T2-9-2_Middle,T2-9-2,0.112,T2,9,2,Stylophora pistillata,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-9-1_F,T3-9-1,0,T3,9,1,Stylophora pistillata,37.86072744,F,18,64.7077908,203.06107,197.9103429,195.4444993,60.24754895,38.14591692,18.25487948
T3-9-1_I,T3-9-1,0.402,T3,9,1,Stylophora pistillata,37.86072744,I,0,61.91976834,191.6695964,185.6211548,184.2726663,60.97338357,37.6705457,11.59343097
T3-9-1_Middle,T3-9-1,0,T3,9,1,Stylophora pistillata,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-9-2_F,T3-9-2,0.113,T3,9,2,Stylophora pistillata,36.32067772,F,18,55.52095841,202.9671618,197.6083968,195.5745627,73.26928053,57.74886797,43.35384173
T3-9-2_I,T3-9-2,0.412,T3,9,2,Stylophora pistillata,36.32067772,I,0,62.83849444,191.6695964,185.6211548,184.2726663,57.45061843,34.59317312,10.2715522
T3-9-2_Middle,T3-9-2,0,T3,9,2,Stylophora pistillata,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-10-1_F,C-10-1,0.374,C,10,1,Stylophora pistillata,31.81368785,F,18,60.3670239,203.3483167,198.3070401,195.4294749,78.64992601,51.90924436,23.96122364
C-10-1_I,C-10-1,0.433,C,10,1,Stylophora pistillata,31.81368785,I,0,57.87921909,191.6695964,185.6211548,184.2726663,71.68998778,46.52361804,21.24516441
C-10-1_Middle,C-10-1,0.254,C,10,1,Stylophora pistillata,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-10-2_F,C-10-2,0.349,C,10,2,Stylophora pistillata,31.81342634,F,18,62.58467469,202.7859978,197.5462694,195.2656371,74.85555704,46.36524331,17.09686268
C-10-2_I,C-10-2,0.456,C,10,2,Stylophora pistillata,31.81342634,I,0,62.81373708,191.6695964,185.6211548,184.2726663,58.14050828,34.41178283,10.48852522
C-10-2_Middle,C-10-2,0.307,C,10,2,Stylophora pistillata,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-10-1_F,T1-10-1,0.353,T1,10,1,Stylophora pistillata,33.65498611,F,18,66.15857515,203.3483167,198.3070401,195.4294749,59.37471988,36.40236292,13.61590503
T1-10-1_I,T1-10-1,0.449,T1,10,1,Stylophora pistillata,33.65498611,I,0,59.67318557,191.6695964,185.6211548,184.2726663,66.81712199,42.28494946,17.74947463
T1-10-1_Middle,T1-10-1,0.254,T1,10,1,Stylophora pistillata,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-10-2_F,T1-10-2,0.304,T1,10,2,Stylophora pistillata,34.09503478,F,18,65.32790285,202.7859978,197.5462694,195.2656371,65.19071841,39.35641447,11.42966919
T1-10-2_I,T1-10-2,0.436,T1,10,2,Stylophora pistillata,34.09503478,I,0,60.43576431,191.6695964,185.6211548,184.2726663,68.0949289,41.74151132,14.29358375
T1-10-2_Middle,T1-10-2,0.259,T1,10,2,Stylophora pistillata,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-10-1_F,T2-10-1,0.019,T2,10,1,Stylophora pistillata,36.10948895,F,18,44.58426132,203.06107,197.9103429,195.4444993,102.9948509,83.58697168,67.51689552
T2-10-1_I,T2-10-1,0.445,T2,10,1,Stylophora pistillata,36.10948895,I,0,62.4470087,191.6695964,185.6211548,184.2726663,58.59833127,35.46540227,11.55812083
T2-10-1_Middle,T2-10-1,0.107,T2,10,1,Stylophora pistillata,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-10-2_F,T2-10-2,0.15,T2,10,2,Stylophora pistillata,35.57866298,F,18,42.41744156,202.9671618,197.6083968,195.5745627,109.8040465,89.05198576,71.46876171
T2-10-2_I,T2-10-2,0.45,T2,10,2,Stylophora pistillata,35.57866298,I,0,63.34247893,191.6695964,185.6211548,184.2726663,56.23040889,33.09381256,8.99846676
T2-10-2_Middle,T2-10-2,0.096,T2,10,2,Stylophora pistillata,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-10-1_F,T3-10-1,0,T3,10,1,Stylophora pistillata,37.86072744,F,18,53.77066015,203.06107,197.9103429,195.4444993,80.26149949,61.62046606,46.08689632
T3-10-1_I,T3-10-1,0.449,T3,10,1,Stylophora pistillata,37.86072744,I,0,65.23906312,191.6695964,185.6211548,184.2726663,46.3523605,27.44380653,9.36495808
T3-10-1_Middle,T3-10-1,0,T3,10,1,Stylophora pistillata,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-10-2_F,T3-10-2,0.056,T3,10,2,Stylophora pistillata,36.32067772,F,18,47.96648045,202.9671618,197.6083968,195.5745627,92.34439512,75.62538454,59.0218695
T3-10-2_I,T3-10-2,0.447,T3,10,2,Stylophora pistillata,36.32067772,I,0,59.91504248,191.6695964,185.6211548,184.2726663,66.50151186,41.66591895,17.88218957
T3-10-2_Middle,T3-10-2,0,T3,10,2,Stylophora pistillata,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
