Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T1-2-2_F,T1-2-2,0.431,T1,2,2,Acropora hemprichii,34.09503478,F,18,61.48388644,202.7859978,197.5462694,195.2656371,69.05385047,41.2915498,34.74927879
T1-2-2_I,T1-2-2,0.563,T1,2,2,Acropora hemprichii,34.09503478,I,0,66.22950936,191.8849685,185.8994694,185.0367903,44.90147351,22.73527329,19.61267154
T1-2-2_Middle,T1-2-2,0.389,T1,2,2,Acropora hemprichii,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-2-1_F,T2-2-1,0.058,T2,2,1,Acropora hemprichii,36.10948895,F,18,40.69299713,203.06107,197.9103429,195.4444993,111.9779232,90.76155066,82.52971115
T2-2-1_I,T2-2-1,0.514,T2,2,1,Acropora hemprichii,36.10948895,I,0,58.93908499,191.8849685,185.8994694,185.0367903,64.29686628,37.88402009,33.87200799
T2-2-1_Middle,T2-2-1,0.272,T2,2,1,Acropora hemprichii,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-2-2_F,T2-2-2,0.201,T2,2,2,Acropora hemprichii,35.57866298,F,18,40.38956509,202.9671618,197.6083968,195.5745627,111.1247002,91.91028317,82.58453008
T2-2-2_I,T2-2-2,0.569,T2,2,2,Acropora hemprichii,35.57866298,I,0,65.4906245,191.8849685,185.8994694,185.0367903,46.26176688,24.77818507,18.50542139
T2-2-2_Middle,T2-2-2,0.381,T2,2,2,Acropora hemprichii,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-2-1_F,T3-2-1,0,T3,2,1,Acropora hemprichii,37.86072744,F,18,54.32638591,203.06107,197.9103429,195.4444993,84.50697509,60.43204992,43.35037792
T3-2-1_I,T3-2-1,0.56,T3,2,1,Acropora hemprichii,37.86072744,I,0,68.90562812,191.8849685,185.8994694,185.0367903,35.74209471,17.82982416,15.69686102
T3-2-1_Middle,T3-2-1,0,T3,2,1,Acropora hemprichii,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-2-2_F,T3-2-2,0.062,T3,2,2,Acropora hemprichii,36.32067772,F,18,44.78740392,202.9671618,197.6083968,195.5745627,103.6622437,82.57717732,67.37215923
T3-2-2_I,T3-2-2,0.422,T3,2,2,Acropora hemprichii,36.32067772,I,0,65.78814306,191.8849685,185.8994694,185.0367903,49.28645812,23.59850125,16.92647119
T3-2-2_Middle,T3-2-2,0,T3,2,2,Acropora hemprichii,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-3-1_F,C-3-1,0.413,C,3,1,Acropora hemprichii,31.81368785,F,18,67.36124038,203.3483167,198.3070401,195.4294749,58.84206115,30.89064316,18.09581227
C-3-1_I,C-3-1,0.492,C,3,1,Acropora hemprichii,31.81368785,I,0,67.09263043,191.8849685,185.8994694,185.0367903,42.46787184,21.57359431,13.00109712
C-3-1_Middle,C-3-1,0.428,C,3,1,Acropora hemprichii,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-3-2_F,C-3-2,0.417,C,3,2,Acropora hemprichii,31.81342634,F,18,67.51486568,202.7859978,197.5462694,195.2656371,58.50230583,29.75065534,17.79701456
C-3-2_I,C-3-2,0.528,C,3,2,Acropora hemprichii,31.81342634,I,0,68.05865937,191.8849685,185.8994694,185.0367903,40.02275302,19.02222276,10.95290318
C-3-2_Middle,C-3-2,0.28,C,3,2,Acropora hemprichii,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-3-1_F,T1-3-1,0.468,T1,3,1,Acropora hemprichii,33.65498611,F,18,61.71508876,203.3483167,198.3070401,195.4294749,73.64199766,44.47339651,26.92538956
T1-3-1_I,T1-3-1,0.599,T1,3,1,Acropora hemprichii,33.65498611,I,0,67.72191534,191.8849685,185.8994694,185.0367903,41.41248337,20.27113826,9.81640861
T1-3-1_Middle,T1-3-1,0.359,T1,3,1,Acropora hemprichii,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-3-2_F,T1-3-2,0.384,T1,3,2,Acropora hemprichii,34.09503478,F,18,62.22901084,202.7859978,197.5462694,195.2656371,72.32823314,42.43088788,25.98356239
T1-3-2_I,T1-3-2,0.493,T1,3,2,Acropora hemprichii,34.09503478,I,0,68.17414075,191.8849685,185.8994694,185.0367903,38.28017164,19.43089447,11.90529946
T1-3-2_Middle,T1-3-2,0.27,T1,3,2,Acropora hemprichii,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-3-1_F,T2-3-1,0.107,T2,3,1,Acropora hemprichii,36.10948895,F,18,41.13722391,203.06107,197.9103429,195.4444993,119.8934088,91.9749833,76.75142475
T2-3-1_I,T2-3-1,0.575,T2,3,1,Acropora hemprichii,36.10948895,I,0,67.69378465,191.8849685,185.8994694,185.0367903,42.36,21.2,12.77
T2-3-1_Middle,T2-3-1,0.132,T2,3,1,Acropora hemprichii,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-3-2_F,T2-3-2,0.196,T2,3,2,Acropora hemprichii,35.57866298,F,18,45.37304604,202.9671618,197.6083968,195.5745627,98.33077602,79.21398609,70.92595761
T2-3-2_I,T2-3-2,0.571,T2,3,2,Acropora hemprichii,35.57866298,I,0,68.13879468,191.8849685,185.8994694,185.0367903,41.15,20.45,11.88
T2-3-2_Middle,T2-3-2,0.112,T2,3,2,Acropora hemprichii,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-3-1_F,T3-3-1,0,T3,3,1,Acropora hemprichii,37.86072744,F,18,58.83317269,203.06107,197.9103429,195.4444993,76.25497604,50.96282867,32.32422222
T3-3-1_I,T3-3-1,0.5,T3,3,1,Acropora hemprichii,37.86072744,I,0,67.98735649,191.8849685,185.8994694,185.0367903,39.94,19.7,10.97
T3-3-1_Middle,T3-3-1,0,T3,3,1,Acropora hemprichii,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-3-2_F,T3-3-2,0.121,T3,3,2,Acropora hemprichii,36.32067772,F,18,58.1638041,202.9671618,197.6083968,195.5745627,71.26526549,50.5675885,38.38702065
T3-3-2_I,T3-3-2,0.577,T3,3,2,Acropora hemprichii,36.32067772,I,0,67.68439725,191.8849685,185.8994694,185.0367903,38.73,18.95,10.07
T3-3-2_Middle,T3-3-2,0,T3,3,2,Acropora hemprichii,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-4-1_F,C-4-1,0.473,C,4,1,Acropora hemprichii,31.81368785,F,18,69.44626134,203.3483167,198.3070401,195.4294749,46.84205459,25.47461685,21.01641904
C-4-1_I,C-4-1,0.539,C,4,1,Acropora hemprichii,31.81368785,I,0,63.19600811,189.4926103,182.3939287,181.3370145,49.50019456,26.70402257,22.5234204
C-4-1_Middle,C-4-1,0.26,C,4,1,Acropora hemprichii,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-4-2_F,C-4-2,0.432,C,4,2,Acropora hemprichii,31.81342634,F,18,66.24523256,202.7859978,197.5462694,195.2656371,58.02958828,32.52994208,20.96899651
C-4-2_I,C-4-2,0.507,C,4,2,Acropora hemprichii,31.81342634,I,0,60.0363559,189.4926103,182.3939287,181.3370145,58.98123562,34.34228815,23.70954755
C-4-2_Middle,C-4-2,0.284,C,4,2,Acropora hemprichii,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-4-1_F,T1-4-1,0.416,T1,4,1,Acropora hemprichii,33.65498611,F,18,69.77196588,203.3483167,198.3070401,195.4294749,48.82980457,25.89678721,14.29288264
T1-4-1_I,T1-4-1,0.495,T1,4,1,Acropora hemprichii,33.65498611,I,0,63.64353282,189.4926103,182.3939287,181.3370145,50.43108684,26.87978154,16.26344074
T1-4-1_Middle,T1-4-1,0.212,T1,4,1,Acropora hemprichii,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-4-2_F,T1-4-2,0.442,T1,4,2,Acropora hemprichii,34.09503478,F,18,68.86255816,202.7859978,197.5462694,195.2656371,48.39534884,26.43696791,18.36066987
T1-4-2_I,T1-4-2,0.538,T1,4,2,Acropora hemprichii,34.09503478,I,0,63.50050152,189.4926103,182.3939287,181.3370145,48.51625752,26.0765113,19.71415955
T1-4-2_Middle,T1-4-2,0.275,T1,4,2,Acropora hemprichii,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-4-1_F,T2-4-1,0.287,T2,4,1,Acropora hemprichii,36.10948895,F,18,45.65176793,203.06107,197.9103429,195.4444993,97.59133316,77.50841239,79.85321209
T2-4-1_I,T2-4-1,0.5,T2,4,1,Acropora hemprichii,36.10948895,I,0,64.23583206,189.4926103,182.3939287,181.3370145,45.27178599,24.46414441,21.51729297
T2-4-1_Middle,T2-4-1,0.122,T2,4,1,Acropora hemprichii,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-4-2_F,T2-4-2,0.443,T2,4,2,Acropora hemprichii,35.57866298,F,18,56.67063705,202.9671618,197.6083968,195.5745627,77.11666757,51.58052201,50.682244
T2-4-2_I,T2-4-2,0.529,T2,4,2,Acropora hemprichii,35.57866298,I,0,63.2679636,189.4926103,182.3939287,181.3370145,47.81466659,26.12389811,23.13168568
T2-4-2_Middle,T2-4-2,0.206,T2,4,2,Acropora hemprichii,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-4-1_F,T3-4-1,0,T3,4,1,Acropora hemprichii,37.86072744,F,18,45.97717861,203.06107,197.9103429,195.4444993,99.79879935,80.31272154,63.2228164
T3-4-1_I,T3-4-1,0.472,T3,4,1,Acropora hemprichii,37.86072744,I,0,63.50095691,189.4926103,182.3939287,181.3370145,51.14728806,26.25076245,17.14513525
T3-4-1_Middle,T3-4-1,0,T3,4,1,Acropora hemprichii,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-4-2_F,T3-4-2,0.216,T3,4,2,Acropora hemprichii,36.32067772,F,18,51.02407517,202.9671618,197.6083968,195.5745627,84.50563492,65.55699862,60.6327873
T3-4-2_I,T3-4-2,0.523,T3,4,2,Acropora hemprichii,36.32067772,I,0,64.71814627,189.4926103,182.3939287,181.3370145,44.48316324,23.19383653,20.11149921
T3-4-2_Middle,T3-4-2,0.022,T3,4,2,Acropora hemprichii,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
