ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-2-1,T3-2-1_F,T3,2,1,Acropora hemprichii,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,84.60278192,62.71326379,42.88261302
C-2-2,C-2-2_I,C,2,2,Acropora hemprichii,31.81342634,I,0,0.544,194.3338776,193.3338776,191.3142857,46.34719465,23.4620381,22.88329328
C-2-2,C-2-2_Middle,C,2,2,Acropora hemprichii,31.81342634,Middle,7,0.452,NA,NA,NA,NA,NA,NA
C-2-2,C-2-2_F,C,2,2,Acropora hemprichii,31.81342634,F,18,0.427,196.94,194.8730612,192.0306122,55.80282508,28.87178089,26.98969181
T1-2-2,T1-2-2_I,T1,2,2,Acropora hemprichii,34.09503478,I,0,0.563,194.3338776,193.3338776,191.3142857,50.82326889,26.78235501,23.3315993
T1-2-2,T1-2-2_Middle,T1,2,2,Acropora hemprichii,34.09503478,Middle,7,0.389,NA,NA,NA,NA,NA,NA
T1-2-2,T1-2-2_F,T1,2,2,Acropora hemprichii,34.09503478,F,18,0.431,196.94,194.8730612,192.0306122,73.19371527,44.26843796,37.64206081
T2-2-2,T2-2-2_I,T2,2,2,Acropora hemprichii,35.57866298,I,0,0.569,194.3338776,193.3338776,191.3142857,51.28847979,28.59846903,21.09679256
T2-2-2,T2-2-2_Middle,T2,2,2,Acropora hemprichii,35.57866298,Middle,7,0.381,NA,NA,NA,NA,NA,NA
T2-2-2,T2-2-2_F,T2,2,2,Acropora hemprichii,35.57866298,F,18,0.201,195.9604082,194.9604082,191.0730612,110.6709028,91.80798818,79.86863807
T3-2-2,T3-2-2_I,T3,2,2,Acropora hemprichii,36.32067772,I,0,0.422,194.3338776,193.3338776,191.3142857,55.58461443,28.95827887,21.66343022
T3-2-2,T3-2-2_Middle,T3,2,2,Acropora hemprichii,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-2-2,T3-2-2_F,T3,2,2,Acropora hemprichii,36.32067772,F,18,0.062,195.9604082,194.9604082,191.0730612,104.064051,84.26937056,64.93067758
