ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T2-7-2,T2-7-2_F,T2,7,2,Stylophora pistillata,35.57866298,F,18,0.16,195.9604082,194.9604082,191.0730612,107.1329269,80.31370083,42.11981685
T3-7-2,T3-7-2_I,T3,7,2,Stylophora pistillata,36.32067772,I,0,0.376,192.4634694,189.9744898,186.4708163,82.82686489,59.4968436,24.85036046
T3-7-2,T3-7-2_Middle,T3,7,2,Stylophora pistillata,36.32067772,Middle,7,0.321,NA,NA,NA,NA,NA,NA
T3-7-2,T3-7-2_F,T3,7,2,Stylophora pistillata,36.32067772,F,18,0.111,195.9604082,194.9604082,191.0730612,84.40645247,65.53605238,37.45973077
C-8-1,C-8-1_I,C,8,1,Stylophora pistillata,31.81368785,I,0,0.388,192.4634694,189.9744898,186.4708163,72.23029138,51.58513586,15.17022703
C-8-1,C-8-1_Middle,C,8,1,Stylophora pistillata,31.81368785,Middle,7,0.426,NA,NA,NA,NA,NA,NA
C-8-1,C-8-1_F,C,8,1,Stylophora pistillata,31.81368785,F,18,0.334,197.4918367,195.7571429,192.8591837,82.35893206,59.74649579,17.42330177
T1-8-1,T1-8-1_I,T1,8,1,Stylophora pistillata,33.65498611,I,0,0.423,192.4634694,189.9744898,186.4708163,66.15992921,46.89184596,14.19496556
T1-8-1,T1-8-1_Middle,T1,8,1,Stylophora pistillata,33.65498611,Middle,7,0.366,NA,NA,NA,NA,NA,NA
T1-8-1,T1-8-1_F,T1,8,1,Stylophora pistillata,33.65498611,F,18,0.34,197.4918367,195.7571429,192.8591837,68.83771922,49.39378063,14.36603086
T2-8-1,T2-8-1_I,T2,8,1,Stylophora pistillata,36.10948895,I,0,0.456,192.4634694,189.9744898,186.4708163,66.24149103,47.32688803,20.35006955
T2-8-1,T2-8-1_Middle,T2,8,1,Stylophora pistillata,36.10948895,Middle,7,0.214,NA,NA,NA,NA,NA,NA
T2-8-1,T2-8-1_F,T2,8,1,Stylophora pistillata,36.10948895,F,18,0.161,197.4769388,197.0173469,194.2402041,103.8449528,84.55361898,59.52977487
T3-8-1,T3-8-1_I,T3,8,1,Stylophora pistillata,37.86072744,I,0,0.424,192.4634694,189.9744898,186.4708163,59.30568294,41.62260946,16.6629641
T3-8-1,T3-8-1_Middle,T3,8,1,Stylophora pistillata,37.86072744,Middle,7,0.177,NA,NA,NA,NA,NA,NA
T3-8-1,T3-8-1_F,T3,8,1,Stylophora pistillata,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,88.15415828,68.45441976,44.98250729
C-8-2,C-8-2_I,C,8,2,Stylophora pistillata,31.81342634,I,0,0.414,192.4634694,189.9744898,186.4708163,77.73147257,55.27555342,19.40442733
C-8-2,C-8-2_Middle,C,8,2,Stylophora pistillata,31.81342634,Middle,7,0.25,NA,NA,NA,NA,NA,NA
C-8-2,C-8-2_F,C,8,2,Stylophora pistillata,31.81342634,F,18,0.352,196.94,194.8730612,192.0306122,88.43500907,62.57900397,21.8514013
T1-8-2,T1-8-2_I,T1,8,2,Stylophora pistillata,34.09503478,I,0,0.438,192.4634694,189.9744898,186.4708163,60.49949686,42.58719072,11.65538061
T1-8-2,T1-8-2_Middle,T1,8,2,Stylophora pistillata,34.09503478,Middle,7,0.233,NA,NA,NA,NA,NA,NA
T1-8-2,T1-8-2_F,T1,8,2,Stylophora pistillata,34.09503478,F,18,0.341,196.94,194.8730612,192.0306122,61.37430248,42.92108579,9.571336
T2-8-2,T2-8-2_I,T2,8,2,Stylophora pistillata,35.57866298,I,0,0.434,192.4634694,189.9744898,186.4708163,47.24731788,31.89007703,7.36082873
T2-8-2,T2-8-2_Middle,T2,8,2,Stylophora pistillata,35.57866298,Middle,7,0.1,NA,NA,NA,NA,NA,NA
T2-8-2,T2-8-2_F,T2,8,2,Stylophora pistillata,35.57866298,F,18,0.168,195.9604082,194.9604082,191.0730612,92.24417093,67.44361919,31.44176238
T3-8-2,T3-8-2_I,T3,8,2,Stylophora pistillata,36.32067772,I,0,0.4,192.4634694,189.9744898,186.4708163,53.85615916,37.04521198,10.19644218
T3-8-2,T3-8-2_Middle,T3,8,2,Stylophora pistillata,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-8-2,T3-8-2_F,T3,8,2,Stylophora pistillata,36.32067772,F,18,0.076,195.9604082,194.9604082,191.0730612,74.99529179,63.57722616,44.87639388
C-9-1,C-9-1_I,C,9,1,Stylophora pistillata,31.81368785,I,0,0.381,195.6771429,192.2061225,189.017551,74.47852306,53.47464604,23.33493884
C-9-1,C-9-1_Middle,C,9,1,Stylophora pistillata,31.81368785,Middle,7,0.231,NA,NA,NA,NA,NA,NA
C-9-1,C-9-1_F,C,9,1,Stylophora pistillata,31.81368785,F,18,0.342,197.4918367,195.7571429,192.8591837,79.69559024,55.60191664,18.05215859
T1-9-1,T1-9-1_I,T1,9,1,Stylophora pistillata,33.65498611,I,0,0.385,195.6771429,192.2061225,189.017551,82.92281495,58.57683703,21.41374167
T1-9-1,T1-9-1_Middle,T1,9,1,Stylophora pistillata,33.65498611,Middle,7,0.206,NA,NA,NA,NA,NA,NA
T1-9-1,T1-9-1_F,T1,9,1,Stylophora pistillata,33.65498611,F,18,0.299,197.4918367,195.7571429,192.8591837,68.60331726,47.60751863,14.32131375
T2-9-1,T2-9-1_I,T2,9,1,Stylophora pistillata,36.10948895,I,0,0.4,195.6771429,192.2061225,189.017551,57.28604276,39.79897503,11.65060208
T2-9-1,T2-9-1_Middle,T2,9,1,Stylophora pistillata,36.10948895,Middle,7,0.049,NA,NA,NA,NA,NA,NA
T2-9-1,T2-9-1_F,T2,9,1,Stylophora pistillata,36.10948895,F,18,0.078,197.4769388,197.0173469,194.2402041,90.20646953,69.84271297,41.88435944
T3-9-1,T3-9-1_I,T3,9,1,Stylophora pistillata,37.86072744,I,0,0.402,195.6771429,192.2061225,189.017551,64.50808493,44.74470683,12.26851493
T3-9-1,T3-9-1_Middle,T3,9,1,Stylophora pistillata,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-9-1,T3-9-1_F,T3,9,1,Stylophora pistillata,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,61.57824372,42.28597529,19.62397773
C-9-2,C-9-2_I,C,9,2,Stylophora pistillata,31.81342634,I,0,0.362,195.6771429,192.2061225,189.017551,78.30842427,55.62748691,21.34806819
C-9-2,C-9-2_Middle,C,9,2,Stylophora pistillata,31.81342634,Middle,7,0.291,NA,NA,NA,NA,NA,NA
C-9-2,C-9-2_F,C,9,2,Stylophora pistillata,31.81342634,F,18,0.304,196.94,194.8730612,192.0306122,80.89730183,57.3390277,20.77101461
T1-9-2,T1-9-2_I,T1,9,2,Stylophora pistillata,34.09503478,I,0,0.412,195.6771429,192.2061225,189.017551,58.52164452,39.20409777,9.86326187
T1-9-2,T1-9-2_Middle,T1,9,2,Stylophora pistillata,34.09503478,Middle,7,0.276,NA,NA,NA,NA,NA,NA
T1-9-2,T1-9-2_F,T1,9,2,Stylophora pistillata,34.09503478,F,18,0.321,196.94,194.8730612,192.0306122,50.60679623,32.97758667,8.12731356
T2-9-2,T2-9-2_I,T2,9,2,Stylophora pistillata,35.57866298,I,0,0.421,195.6771429,192.2061225,189.017551,67.64883351,47.18267701,15.36819829
T2-9-2,T2-9-2_Middle,T2,9,2,Stylophora pistillata,35.57866298,Middle,7,0.112,NA,NA,NA,NA,NA,NA
T2-9-2,T2-9-2_F,T2,9,2,Stylophora pistillata,35.57866298,F,18,0.193,195.9604082,194.9604082,191.0730612,92.80341534,71.10289899,39.65542844
T3-9-2,T3-9-2_I,T3,9,2,Stylophora pistillata,36.32067772,I,0,0.412,195.6771429,192.2061225,189.017551,60.8299384,41.13317234,10.91232675
T3-9-2,T3-9-2_Middle,T3,9,2,Stylophora pistillata,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-9-2,T3-9-2_F,T3,9,2,Stylophora pistillata,36.32067772,F,18,0.113,195.9604082,194.9604082,191.0730612,72.96302474,59.47869753,41.93591882
C-10-1,C-10-1_I,C,10,1,Stylophora pistillata,31.81368785,I,0,0.433,195.6771429,192.2061225,189.017551,74.16447029,52.44833002,21.48918992
C-10-1,C-10-1_Middle,C,10,1,Stylophora pistillata,31.81368785,Middle,7,0.254,NA,NA,NA,NA,NA,NA
C-10-1,C-10-1_F,C,10,1,Stylophora pistillata,31.81368785,F,18,0.374,197.4918367,195.7571429,192.8591837,79.56266721,56.50516936,23.42676733
T1-10-1,T1-10-1_I,T1,10,1,Stylophora pistillata,33.65498611,I,0,0.449,195.6771429,192.2061225,189.017551,69.89121708,48.78669343,18.81366885
T1-10-1,T1-10-1_Middle,T1,10,1,Stylophora pistillata,33.65498611,Middle,7,0.254,NA,NA,NA,NA,NA,NA
T1-10-1,T1-10-1_F,T1,10,1,Stylophora pistillata,33.65498611,F,18,0.353,197.4918367,195.7571429,192.8591837,63.91709876,44.1799444,17.26994322
T2-10-1,T2-10-1_I,T2,10,1,Stylophora pistillata,36.10948895,I,0,0.445,195.6771429,192.2061225,189.017551,61.63709865,41.75391782,12.39657295
T2-10-1,T2-10-1_Middle,T2,10,1,Stylophora pistillata,36.10948895,Middle,7,0.107,NA,NA,NA,NA,NA,NA
T2-10-1,T2-10-1_F,T2,10,1,Stylophora pistillata,36.10948895,F,18,0.019,197.4769388,197.0173469,194.2402041,100.7549979,83.81376263,64.54140362
T3-10-1,T3-10-1_I,T3,10,1,Stylophora pistillata,37.86072744,I,0,0.449,195.6771429,192.2061225,189.017551,50.71280125,33.67803045,10.25522561
T3-10-1,T3-10-1_Middle,T3,10,1,Stylophora pistillata,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-10-1,T3-10-1_F,T3,10,1,Stylophora pistillata,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,79.26827913,62.96568067,44.94332407
C-10-2,C-10-2_I,C,10,2,Stylophora pistillata,31.81342634,I,0,0.456,195.6771429,192.2061225,189.017551,62.08680775,41.58942984,11.80589132
C-10-2,C-10-2_Middle,C,10,2,Stylophora pistillata,31.81342634,Middle,7,0.307,NA,NA,NA,NA,NA,NA
C-10-2,C-10-2_F,C,10,2,Stylophora pistillata,31.81342634,F,18,0.349,196.94,194.8730612,192.0306122,71.80642607,49.90461582,18.90976549
T1-10-2,T1-10-2_I,T1,10,2,Stylophora pistillata,34.09503478,I,0,0.436,195.6771429,192.2061225,189.017551,70.30285446,47.70750106,14.62604057
T1-10-2,T1-10-2_Middle,T1,10,2,Stylophora pistillata,34.09503478,Middle,7,0.259,NA,NA,NA,NA,NA,NA
T1-10-2,T1-10-2_F,T1,10,2,Stylophora pistillata,34.09503478,F,18,0.304,196.94,194.8730612,192.0306122,64.89138401,44.12103738,12.44384244
T2-10-2,T2-10-2_I,T2,10,2,Stylophora pistillata,35.57866298,I,0,0.45,195.6771429,192.2061225,189.017551,58.11997673,39.66444566,12.35974333
T2-10-2,T2-10-2_Middle,T2,10,2,Stylophora pistillata,35.57866298,Middle,7,0.096,NA,NA,NA,NA,NA,NA
T2-10-2,T2-10-2_F,T2,10,2,Stylophora pistillata,35.57866298,F,18,0.15,195.9604082,194.9604082,191.0730612,107.93563,89.39212188,67.42327752
T3-10-2,T3-10-2_I,T3,10,2,Stylophora pistillata,36.32067772,I,0,0.447,195.6771429,192.2061225,189.017551,68.66199336,48.97193663,22.24463578
T3-10-2,T3-10-2_Middle,T3,10,2,Stylophora pistillata,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-10-2,T3-10-2_F,T3,10,2,Stylophora pistillata,36.32067772,F,18,0.056,195.9604082,194.9604082,191.0730612,92.64583069,78.31941721,57.8129484
