ID,Batch (day tissue blast),cells_cm2,chl_a_cm2,chl_c_cm2,chl_c_cm2,total_chl_cm2,chl_per_cell,host_protein_cm2,cells_prot,chl_a_prot,chl_c_prot,total_chl_prot
T1-7-2,1,0.49779644,3.245214576,0.729682558,0.729682558,3.894643629,7.82377E-06,518.8300223,959.4595899,0.00625487,0.000200914,0.007506589
T1-8-1,1,0.569048702,4.174783713,1.30052045,1.30052045,5.393399927,9.47792E-06,573.8109161,991.7007262,0.007275539,0.00032378,0.009399263
T1-8-2,2,0.406016042,3.303559135,0.927233868,0.927233868,4.162785161,1.02528E-05,504.850061,804.2309462,0.006543644,0.000262379,0.008245587
T1-9-1,1,0.585873433,3.64828694,1.043424476,1.043424476,4.604919911,7.85992E-06,302.3998451,1937.413138,0.012064447,0.000492926,0.015227918
T1-9-2,2,0.470186698,2.963080996,0.946500489,0.946500489,3.890202793,8.27374E-06,543.8970386,864.4774012,0.005447871,0.000248603,0.007152462
T2-1-1,1,0.132285936,0.703365977,0.188205747,0.188205747,0.85919722,6.495E-06,158.1142375,836.647846,0.004448467,0.000170045,0.005434028
T2-1-2,4,0.097570787,0.525149204,0.169277412,0.169277412,0.68467206,7.01718E-06,136.4922123,714.8450849,0.003847466,0.000177171,0.005016199
T2-10-1,2,0.178212332,0.810422156,0.272520292,0.272520292,1.09156243,6.12507E-06,159.4941305,1117.359813,0.005081204,0.000244093,0.006843903
T2-10-2,2,0.079311181,0.530236179,0.152562724,0.152562724,0.677176144,8.53822E-06,267.7139992,296.2533931,0.001980607,8.14103E-05,0.002529476
T2-2-1,1,0.112511508,0.65267169,0.18469553,0.18469553,0.813714632,7.23228E-06,257.4198763,437.0738946,0.002535436,0.000102498,0.00316104
T2-2-2,5,0.140122034,1.006141153,0.318225851,0.318225851,1.296335542,9.25148E-06,133.0824041,1052.896774,0.007560287,0.000341599,0.009740849
T2-3-1,2,0.110120438,0.635075798,0.192621003,0.192621003,0.81755541,7.42419E-06,130.2528313,845.4360429,0.004875716,0.000211261,0.006276681
