,hex_colors,rgb_colors,is_dark,Image_name,is_coral
0,#e0dad8,[224.00744939 218.9544126  216.11452096],False,blank_T2-7-1.JPG,False
0,#583220,[88.53565738 50.08046714 32.76164937],False,coral_T2-7-1.jpg,True
