"Index","Outcome","Covars","p_spearman","ci_lower","ci_upper","p_value","CV_RMSE","R2","RMSE_in","AIC","BIC","N","nGenos","Species","p_adj_BH","Rank"
"DeltaE76","FvFm","",0.723583295201464,0.583554829697052,0.814091477328725,0.000000132507520280001,0.119962325178959,0.512595728077628,0.115241194771874,-53.3431574344914,-48.2765190721496,40,5,"Acropora hemprichii",0.000000314178886894392,26
"V_hsv","FvFm","",-0.722173717353669,-0.817019675147077,-0.570635599198658,0.000000143957633359612,0.120005000320856,0.504045769155744,0.116247570797546,-52.6475678314819,-47.5809294691401,40,5,"Acropora hemprichii",0.000000314178886894392,27
"R_index","FvFm","",-0.722173717353669,-0.817019675147077,-0.570635599198658,0.000000143957633359612,0.120005000320856,0.504045769155744,0.116247570797546,-52.6475678314819,-47.5809294691401,40,5,"Acropora hemprichii",0.000000314178886894392,28
"ExR","FvFm","",0.72207974549715,0.586346545007942,0.805931778716237,0.000000144752669786195,0.11156956776178,0.586987983467766,0.106082667160894,-59.9678461389241,-54.9012077765823,40,5,"Acropora hemprichii",0.000000314178886894392,29
"int","FvFm","",-0.721515914358032,-0.812108707245644,-0.579018092950011,0.000000149608993759234,0.124256436380531,0.484454206863748,0.118521382922619,-51.0978683901142,-46.0312300277724,40,5,"Acropora hemprichii",0.000000314178886894392,30
"F_PC1","FvFm","",-0.720952083218914,-0.814224522420676,-0.580375526241158,0.000000154615958189967,0.123315174876928,0.490829034595896,0.117786333190602,-51.5955598678548,-46.528921505513,40,5,"Acropora hemprichii",0.000000314219527934449,31
"R_plus_B","FvFm","",-0.69924458436287,-0.806634632887333,-0.530567530025247,0.000000518513879091913,0.12958580164117,0.442439711893546,0.12325626505333,-47.9640881656696,-42.8974498033278,40,5,"Acropora hemprichii",0.00000100990405716485,32
"GLI2","FvFm","",-0.698868696936791,-0.790495057381146,-0.55351147811142,0.000000528997363276824,0.118143426123874,0.53640713760127,0.112390979712244,-55.3466450566913,-50.2800066943494,40,5,"Acropora hemprichii",0.00000100990405716485,33
"CIVE_raw","FvFm","",0.697741034658555,0.487924501544156,0.837892387336222,0.00000056163479787904,0.108220682264488,0.623479678306842,0.101287837050652,-63.6680328266636,-58.6013944643218,40,5,"Acropora hemprichii",0.00000104067624312881,34
"D_toWhite_RGB_corrected","FvFm","",0.697083231662917,0.540626334031757,0.797912507503664,0.000000581522589985893,0.126707462589811,0.463233684305076,0.120936031638338,-49.4844003295083,-44.4177619671665,40,5,"Acropora hemprichii",0.00000104674066197461,35
"B_index","FvFm","",-0.695861597528162,-0.800837343056624,-0.528341001139784,0.000000620193480800098,0.139356666111361,0.367613600078569,0.13126663347944,-42.9268896850828,-37.860251322741,40,5,"Acropora hemprichii",0.00000108533859140017,36
