"ID","Species","Treatment","Genotype","Replicate","Temperature","FvFm","R_index","G_index","B_index","r_norm","g_norm","b_norm","Grayscale_weight","int","Grayscale_norm","R_plus_G","R_plus_B","R_minus_G","R_minus_B","G_minus_B","g_minus_r","g_minus_b","r_minus_b","NRBI","NGRI","NGBI","KI","D_toWhite_RGB_corrected","ExG","ExG_2","VEG","ExR","ExB","ExGR","ExGR_2","SAVI","OSAVI","EVI","EVI_2","VDVI","VARI","MGRVI","CIVE_raw","WI","WI_old","redness_index","chroma_index","hue_angle","NDI","GLI2","IPCA","RGBVI","CIVE_norm","COM_raw","COM_norm","ChOL","H_hsv","S_hsv","V_hsv","F_PC1","F_PC2","FvFm_Middle","L_coral","a_coral","b_coral","Chroma_coral","DeltaE76","DeltaE2000","Batch..day.tissue.blast.","cells_cm2","chl_a_cm2","chl_c_cm2","chl_c_cm2.1","total_chl_cm2","chl_per_cell","host_protein_cm2","cells_prot","chl_a_prot","chl_c_prot","total_chl_prot","D_toWhite_RGB","D_toWhite"
"C-1-1","Acropora hemprichii","C",1,1,31.81368785,0.354,55.70375335,31.78606898,28.81577087,0.478943031176595,0.273297853572187,0.247759115251217,38.59884262209,38.7685310666667,42.5053587991269,87.48982233,84.51952422,23.91768437,26.88798248,2.97029811,-0.205645177604408,0.0255387383209701,0.231183915925378,0.318127470878941,-0.273376762382551,0.0490133322247641,2.07169702641074,271.846675454122,-20.94738626,-0.180106439283438,0.710681510324656,0.397222390075046,0.0735649077795169,-21.344608650075,-0.577328829358484,-0.246332610732874,-0.338142886998053,-0.224624837405115,-0.212201251698052,-0.141448788889541,-0.407636489638106,-0.508733407707905,26.44290024092,0.124188364728387,0.0339502130750298,3.3876759004732,36.1087509937688,0.100918464451561,0.269790274595653,0.2477124973816,51.44187458301,-0.227410527944788,18.8751052323427,-2.82879029927995,0.904021294104506,0.50354199392553,0.0184115593413612,0.482696063783285,0.000856651339484814,-1.79110075200168,-0.677688981007491,0.322,15.1786203093994,11.1651323214319,6.88525277390362,13.1174267871268,65.1125536386134,63.7545486891172,4,0.503340768,3.093584891,1.009742647,1.009742647,4.025204818,0.00000799698,403.5673638,1247.228624,0.007665597,0.000357435,0.009974059,277.409397184314,66.20766521
"T1-1-1","Acropora hemprichii","T1",1,1,33.65498611,0.416,55.08895294,30.16460425,22.94427814,0.509150231813607,0.278791199084519,0.212058569101874,36.79386733177,36.06594511,41.3237101399812,85.25355719,78.03323108,24.92434869,32.1446748,7.22032611,-0.230359032729089,0.0667326299826446,0.297091662711733,0.411935714504057,-0.292355527575846,0.13595326779762,1.71378162270287,276.71383285116,-17.70402258,-0.163626402746444,0.732998394916418,0.434019125454531,0.0180907976581051,-18.1380417054545,-0.597645528200975,-0.268287470846152,-0.364514660748874,-0.20993233736992,-0.230289784090162,-0.127953963761702,-0.400010224319872,-0.538669986322021,25.33975898619,0.289689660492388,0.0846923735265198,4.38487285822922,41.3114558537121,0.21572761675303,0.288691655564002,0.203700757124219,61.67139484557,-0.162876043269799,18.8702053740179,-1.41733788380369,1.7098282773556,0.504071995485014,0.0374366109623856,0.583504914951103,0.000847196508112265,-2.00842381889532,-0.496858760354256,0.38,14.4762658926665,11.2003395188097,10.0907498934716,15.0755045935189,66.1398462553582,64.2231277284123,6,0.271392045,1.916247721,0.603794223,0.603794223,2.476305019,0.00000912446,300.1609375,904.1551072,0.006384068,0.000287367,0.008249924,290.25923270634,69.02052139
"T2-1-1","Acropora hemprichii","T2",1,1,36.10948895,0.182,111.3250968,86.09880886,88.0444832,0.38997346516919,0.301605404380605,0.308421130450205,93.86327582882,95.15612962,96.5364788607483,197.42390566,199.36958,25.22628794,23.2806136,-1.94567434,-0.0883680607885853,-0.00681572606960062,0.0815523347189847,0.1167711423177,-0.127777271225929,-0.0111728354103334,4.78187983842488,176.075532367205,-27.17196228,-0.095183786858186,0.836245401144192,0.244357446856261,0.130184178249683,-27.4163197268563,-0.339541233714447,-0.111240719829951,-0.155654509432526,-0.166319502274121,-0.0987334224515794,-0.0731279898945112,-0.230631021563725,-0.251449124786007,25.92544311514,-0.0771288405423631,-0.00985531277732294,1.63488372700363,34.3822370049075,-0.0693633338239516,0.125955989588585,0.400780814436205,48.0675501363,-0.13875201947733,18.8363035030885,-6.36214081192337,-0.57852333595781,0.519247623360962,0.98714519324294,0.226600188682701,0.00171203532179931,3.11576549344943,-0.689940752436436,0.31,39.2036751188848,10.7502339375714,2.87414212376671,11.1278130223383,41.8086150778809,37.9489660058483,1,0.132285936,0.703365977,0.188205747,0.188205747,0.85919722,0.000006495,158.1142375,836.647846,0.004448467,0.000170045,0.005434028,177.678568744184,40.98841779
"T3-1-1","Acropora hemprichii","T3",1,1,37.86072744,0,101.3425654,80.4685331,65.07654832,0.41048050279278,0.32593179179462,0.263587705412599,84.95518249278,82.2958822733333,84.9797784239109,181.8110985,166.41911372,20.8740323,36.26601708,15.39198478,-0.0845487109981601,0.0623440863820211,0.146892797380181,0.217919782585897,-0.114811650510983,0.105754070352837,2.79442225972723,198.767939370644,-5.48204752,-0.022204624616139,0.920221825425997,0.248740912115272,0.0430909957830186,-5.73078843211527,-0.270945536731411,-0.10257344338327,-0.141478499640184,-0.116657077543501,-0.0914599755668172,-0.016746430512904,-0.178816231079942,-0.22663585179375,17.6407647835,0.737374770661824,0.0846592144648419,1.96125107018242,44.5854507073333,0.436545863348776,0.113273470454954,0.380842204202369,69.9189838733,-0.00916890718964413,18.8083306377933,2.84213058797154,4.86538018850348,0.524485785173765,0.0707364911621739,0.357855723672059,0.00155851696116878,2.0453523199952,-0.137226502338213,0,35.9374103300234,6.24643689020896,12.373733444078,13.860997553151,45.3817074688337,41.0789190408059,2,0.142798678,0.73250188,0.223375428,0.223375428,0.951008576,0.00000665979,170.1870799,839.0688553,0.004304098,0.000187504,0.005588019,201.842244466529,45.74806987
"C-1-2","Acropora hemprichii","C",1,2,31.81342634,0.384,62.07538,34.22603142,28.27350867,0.498297570290659,0.274742551673107,0.226959878036234,41.87439905192,41.5249733633333,46.7523103142437,96.30141142,90.34888867,27.84934858,33.80187133,5.95252275,-0.223555018617552,0.047782673636873,0.271337692254425,0.374126033287046,-0.289189412380889,0.0952410648370901,1.83644802957718,266.105848980092,-21.89682583,-0.175772344980679,0.716423579708281,0.422874046733816,0.0430012775776206,-22.3196998767338,-0.598646391714495,-0.263410808615404,-0.359397757966244,-0.218117022030072,-0.226210117308416,-0.13788850521227,-0.409381260544593,-0.533741728474272,26.89440973693,0.21374010716627,0.0618113759936417,3.98201161291516,44.1993806385281,0.165698918121478,0.285496250252036,0.218198891004869,64.77373906689,-0.19944150663944,18.8744487480621,-3.20899037776825,0.660738541411125,0.504029064943158,0.02935006512848,0.544529430669615,0.000954638677431757,-1.52847471062497,-0.469565149770225,0.372,16.8399428077455,12.5579513548997,9.68886075602126,15.8611527002799,63.7184962263784,62.6355681084259,3,0.286504176,1.524749211,0.498167399,0.498167399,1.992099171,0.00000695312,467.0125571,613.4828106,0.0032649,0.000106671,0.004265622,277.645872918511,66.00983283
"T1-1-2","Acropora hemprichii","T1",1,2,34.09503478,0.42,62.99833873,32.77634375,22.17132745,0.53412861331544,0.277892772883563,0.187978613800997,40.60374839082,39.3153366433333,46.9252597568826,95.77468248,85.16966618,30.22199498,40.82701128,10.6050163,-0.256235840431876,0.0899141590825666,0.346149999514443,0.479360940475157,-0.315553068905356,0.193002106702568,1.54305536346867,270.310730544709,-19.61697868,-0.16632168134931,0.736646895767193,0.469887285758052,-0.014722713562168,-20.086865965758,-0.636208967107362,-0.292947786286707,-0.395416979610699,-0.208469285593072,-0.250249722442662,-0.130153080820705,-0.410606214454244,-0.573955265806013,26.22926960443,0.350903913094357,0.110728806667822,5.46142523375274,51.8910416290872,0.252992327673404,0.311714323658538,0.164047837738092,78.39637328834,-0.130498643725733,18.8726642331452,-2.18624786277345,1.22126946429777,0.504300340062115,0.0432924836095587,0.648064887154843,0.00096883258331411,-1.69745961053598,-0.242543729592391,0.261,16.4588096926747,13.2953145952107,13.4416396437452,18.9061647749597,64.8104060244471,63.1051757744561,3,0.512820873,2.650485064,0.830401057,0.830401057,3.412191019,0.00000665377,244.6440259,2096.192096,0.010834048,0.000484903,0.013947575,286.231262144107,68.16120032
"T2-1-2","Acropora hemprichii","T2",1,2,35.57866298,0.298,113.6014064,89.62783587,92.89074258,0.383633027867217,0.302674052598649,0.313692919534134,97.16790482341,98.7066616166667,99.8484400532396,203.22924227,206.49214898,23.97357053,20.71066382,-3.26290671,-0.0809589752685684,-0.011018866935485,0.0699401083330833,0.10029758478617,-0.117963193988343,-0.0178771209906933,5.48516490766929,165.884669758077,-27.23647724,-0.0919778422040535,0.843659412474596,0.234412186415455,0.136496034749139,-27.4708894264155,-0.326390028619509,-0.102366802746523,-0.143492197697323,-0.161688311316527,-0.0910308744737794,-0.0706069503883729,-0.217272942783839,-0.232688454799656,25.68603271423,-0.136104328135722,-0.0160553012625273,1.55007271309431,31.8482376281656,-0.125808836392948,0.116269067972715,0.411006879116193,45.63389664981,-0.135554452017837,18.8346734984043,-6.47275621273178,-0.590354934615481,0.520378038593693,0.977315945310713,0.211032339208786,0.00174704200538255,3.41726505611131,-0.758654457236893,0.135,40.555744218884,10.3863024312597,1.86874548037247,10.5530795440953,39.6826691644864,36.0199737339394,4,0.097570787,0.525149204,0.169277412,0.169277412,0.68467206,0.00000701718,136.4922123,714.8450849,0.003847466,0.000177171,0.005016199,176.602826297465,41.01695172
"T3-1-2","Acropora hemprichii","T3",1,2,36.32067772,0.175,103.0361734,85.39541787,90.50781643,0.369385502929065,0.306143253741483,0.324471243329452,91.25281720931,92.9798025666667,93.5704835406566,188.43159127,193.54398983,17.64075553,12.52835697,-5.11239856,-0.0632422491875823,-0.0183279895879696,0.0449142595996126,0.0647313149894467,-0.0936188852999861,-0.0290636984609441,8.2242367172908,175.364674250057,-22.75315409,-0.0815702387755518,0.865354301551047,0.210996450359208,0.14811648691975,-22.9641505403592,-0.29256668913476,-0.0806984714266413,-0.113536934574687,-0.145194633554448,-0.0721064884170151,-0.0624512192991784,-0.180147829868933,-0.185610983932244,23.83809865148,-0.289806099931821,-0.0271313240287535,1.37359527188175,22.2326922137932,-0.285492016472699,0.0922532403961214,0.434387458081722,33.48985239876,-0.122349681161176,18.8297329394352,-4.60711861343323,0.541595856959319,0.520459896994228,0.951698983344696,0.171209342776311,0.00158456245136486,2.89285779086223,-0.981481919597385,0,38.185366764986,8.20632439346958,-0.244855408535705,8.20997650556584,41.5295102804974,38.0432718458181,1,0.119375638,0.68129662,0.21980177,0.21980177,0.873728213,0.00000731915,157.1028312,759.8566918,0.004336629,0.000199871,0.005561505,180.727641246348,41.68204362
"C-2-1","Acropora hemprichii","C",2,1,31.81368785,0.385,55.35844541,32.70363574,26.75522642,0.48214373409035,0.284831933722725,0.233024332186925,38.79930516885,38.2724358566667,42.2403861600325,88.06208115,82.11367183,22.65480967,28.60321899,5.94840932,-0.197311800367625,0.0518076015358004,0.249119401903425,0.348336864648037,-0.257259530710057,0.100042434448093,1.93539214692423,272.724901211548,-16.70640035,-0.145504198831824,0.75260190132798,0.390169294003765,0.0414021313389695,-17.0965696440038,-0.535673492835589,-0.233601724224354,-0.319283138520437,-0.202994689740249,-0.202000068804938,-0.113247651317503,-0.36953142955667,-0.482580681787346,24.68893351057,0.262567172562788,0.0675479075933695,3.50237870629027,36.9698270378979,0.198358477127638,0.253948493551916,0.249483576122884,54.85451707096,-0.161370261665919,18.861480870976,-1.06791069405367,1.97729878023076,0.505227664204679,0.0346604888659538,0.516691153050932,0.000851340952095348,-1.82690871783389,-0.589072840837805,0.376,15.3391086165579,10.0852118973802,8.55791073559483,13.226841466256,64.9355484998855,63.5526235067829,4,0.338908747,2.712339414,0.91947694,0.91947694,3.590298828,0.0000105937,349.5197014,969.6413265,0.00776019,0.000375812,0.010272093,283.905057354759,67.74417498
"T1-2-1","Acropora hemprichii","T1",2,1,33.65498611,0.338,68.84792399,40.45877443,28.41671186,0.499899936038674,0.293768316858731,0.206331747102596,47.57433501546,45.9078034266667,52.1658486704495,109.30669842,97.26463585,28.38914956,40.43121213,12.04206257,-0.206131619179943,0.0874365697561348,0.293568188936078,0.415682552827858,-0.259720126674374,0.174838149516606,1.70284095783799,260.207928533377,-16.34708699,-0.118695049423808,0.789040768911818,0.406091593595412,-0.00490387091509653,-16.7531785835954,-0.52478664301922,-0.239008283675054,-0.324219064470817,-0.18768723226677,-0.206666624233032,-0.0917436668351871,-0.35095999847821,-0.48661580595749,24.44518827286,0.424178348299913,0.11016765435298,4.12282738251865,50.849169098235,0.294271950145483,0.256488443380452,0.227218769350558,77.70872968483,-0.0889197320560544,18.8517712885034,-0.951128300265406,2.07156167706977,0.507878984168235,0.0496401251063193,0.587253903775988,0.00105879160307574,-1.12189261795191,-0.207309343206861,0.422,19.6163272634138,11.7561438806297,13.4360001401047,17.8530954936941,61.7777166171356,61.0597988731605,4,0.283827106,1.888090207,0.551395603,0.551395603,2.398479146,0.00000845049,322.881707,879.0436247,0.005847622,0.000243962,0.007428353,271.92290929288,64.35496571
