,hex_colors,rgb_colors,is_dark,Image_name,is_coral
0,#542f1f,[84.6425433  47.1347109  31.66502165],False,coral_T2-8-1.jpg,True
0,#e0dad8,[224.00744939 218.9544126  216.11452096],False,blank_T2-8-1.JPG,False
